Zip Code,City
16574,HÄSSELBY
16578,HÄSSELBY
16714,BROMMA
16720,BROMMA
16485,STOCKHOLM
16731,BROMMA
16737,BROMMA
16743,BROMMA
16751,BROMMA
16756,BROMMA
16761,BROMMA
16765,BROMMA
16772,BROMMA
16776,BROMMA
16810,BROMMA
16831,BROMMA
16834,BROMMA
16839,BROMMA
16845,BROMMA
16847,BROMMA
16851,BROMMA
16855,BROMMA
16860,BROMMA
16864,BROMMA
16868,BROMMA
16867,BROMMA
16871,BROMMA
16872,BROMMA
16875,BROMMA
16876,BROMMA
16900,SOLNA
16902,SOLNA
16905,SOLNA
16927,SOLNA
16919,SOLNA
16928,SOLNA
16931,SOLNA
16934,SOLNA
16935,SOLNA
16938,SOLNA
16939,SOLNA
16950,SOLNA
16952,SOLNA
16954,SOLNA
16956,SOLNA
16958,SOLNA
16961,SOLNA
16962,SOLNA
16966,SOLNA
16965,SOLNA
16969,SOLNA
16970,SOLNA
16972,SOLNA
16979,SOLNA
16982,STOCKHOLM
16983,SOLNA
16985,STOCKHOLM
17277,SUNDBYBERG
17278,SUNDBYBERG
17282,SUNDBYBERG
17287,SUNDBYBERG
17290,SUNDBYBERG
17294,SUNDBYBERG
17298,STOCKHOLM
17303,TOMTEBODA
17306,TOMTEBODA
17311,STOCKHOLM
17315,TOMTEBODA
17320,TOMTEBODA
17325,TOMTEBODA
17330,SOLNA
17334,STOCKHOLM
17337,STOCKHOLM
17342,STOCKHOLM
17344,STOCKHOLM
17360,TOMTEBODA
17381,STOCKHOLM
17386,STOCKHOLM
17407,SUNDBYBERG
17441,SUNDBYBERG
17445,SUNDBYBERG
17448,SUNDBYBERG
17452,SUNDBYBERG
17456,SUNDBYBERG
17460,SUNDBYBERG
17464,SUNDBYBERG
17486,SUNDBYBERG
17501,JÄRFÄLLA
17506,JÄRFÄLLA
51503,VISKAFORS
17517,JÄRFÄLLA
17521,JÄRFÄLLA
92395,KITTELFJÄLL
92202,TVÄRÅLUND
92396,BARSELE
92399,STORUMAN
92401,SORSELE
92421,SORSELE
92431,SORSELE
92481,SORSELE
92493,GARGNÄS
92495,AMMARNÄS
93010,LÖVÅNGER
93015,BUREÅ
93030,URSVIKEN
93052,FÄLLFORS
93061,BASTUTRÄSK
93070,MALÅ
93071,RENTJÄRN
93081,GLOMMERSTRÄSK
93082,ABBORRTRÄSK
93086,MOSKOSEL
93089,ARJEPLOG
93090,ARJEPLOG
93088,ARJEPLOG
93092,MELLANSTRÖM
93093,LAISVALL
93095,JÄCKVIK
93102,SKELLEFTEÅ
93104,SKELLEFTEÅ
93103,SKELLEFTEÅ
93121,SKELLEFTEÅ
93106,SKELLEFTEÅ
93122,SKELLEFTEÅ
93127,SKELLEFTEÅ
93128,SKELLEFTEÅ
93124,SKELLEFTEÅ
93132,SKELLEFTEÅ
93131,SKELLEFTEÅ
93067,NORSJÖ-VALLEN
93133,SKELLEFTEÅ
93135,SKELLEFTEÅ
93137,SKELLEFTEÅ
93138,SKELLEFTEÅ
93100,SKELLEFTEÅ
93176,SKELLEFTEÅ
93186,SKELLEFTEÅ
93193,SKELLEFTEÅ
93196,SKELLEFTEÅ
93120,SKELLEFTEÅ
93201,SKELLEFTEHAMN
93222,URSVIKEN
93233,SKELLEFTEHAMN
93251,BUREÅ
93283,URSVIKEN
93321,ARVIDSJAUR
93332,ARVIDSJAUR
93381,ARVIDSJAUR
93399,ARVIDSJAUR
93420,KÅGE
93441,ERSMARK
93495,KÅGE
93520,NORSJÖ
93581,NORSJÖ
93601,BOLIDEN
93651,JÖRN
93681,BOLIDEN
93701,BURTRÄSK
16987,STOCKHOLM
16989,SOLNA
16991,SOLNA
16994,SOLNA
16997,SOLNA
17007,SOLNA
17008,SOLNA
17020,SOLNA
17064,SOLNA
17065,SOLNA
17068,SOLNA
17069,SOLNA
17072,SOLNA
17074,SOLNA
17076,SOLNA
17078,SOLNA
17080,SOLNA
17082,SOLNA
17084,SOLNA
17101,SOLNA
17104,SOLNA
17105,SOLNA
17111,SOLNA
17109,SOLNA
11000,STOCKHOLM
17116,STOCKHOLM
17114,SOLNA
17122,SOLNA
17123,SOLNA
17127,SOLNA
17125,SOLNA
17128,SOLNA
17129,SOLNA
17132,SOLNA
17133,SOLNA
17136,SOLNA
17137,SOLNA
17140,SOLNA
17143,SOLNA
17144,SOLNA
17147,SOLNA
17148,SOLNA
17152,SOLNA
17151,SOLNA
17155,SOLNA
17156,SOLNA
17159,solna
17162,SOLNA
17165,SOLNA
17166,SOLNA
17169,SOLNA
17170,SOLNA
17173,SOLNA
17175,STOCKHOLM
17178,SOLNA
17179,SOLNA
17182,SOLNA
17183,STOCKHOLM
17186,SOLNA
17188,SOLNA
17191,SOLNA
17195,SOLNA
17194,SOLNA
17198,SOLNA
93721,BURTRÄSK
16572,HÄSSELBY
16576,HÄSSELBY
16715,BROMMA
16722,BROMMA
16732,BROMMA
16736,BROMMA
16740,BROMMA
16744,BROMMA
16753,BROMMA
16757,BROMMA
16763,BROMMA
16767,BROMMA
16773,BROMMA
16780,BROMMA
16815,BROMMA
16830,BROMMA
16835,BROMMA
16838,BROMMA
16843,BROMMA
16850,BROMMA
16852,BROMMA
11291,STOCKHOLM
16856,BROMMA
16859,BROMMA
16863,BROMMA
53396,GÖTENE
53401,VARA
53423,VARA
53431,VARA
53450,VARA
53481,VARA
53492,TRÅVAD
13012,ÄLTA
13030,VÄRMDÖ
53495,VARA
53521,KVÄNUM
53591,KVÄNUM
54015,VÄRING
54050,MOHOLM
54106,SKÖVDE
54121,SKÖVDE
54124,SKÖVDE
54127,SKÖVDE
54130,SKÖVDE
54134,SKÖVDE
54138,SKÖVDE
54142,SKÖVDE
54144,SKÖVDE
54148,SKÖVDE
54152,SKÖVDE
54155,SKÖVDE
54162,SKÖVDE
54166,SKÖVDE
54178,VÄRSÅS
54185,SKÖVDE
54188,SKÖVDE
13203,SALTSJÖ-BOO
54193,SKÖVDE
54201,MARIESTAD
54222,MARIESTAD
54226,MARIESTAD
54233,MARIESTAD
54240,MARIESTAD
54244,MARIESTAD
54274,MARIESTAD
54285,MARIESTAD
54288,MARIESTAD
54293,MARIESTAD
54320,TIBRO
54330,TIBRO
54334,TIBRO
54350,TIBRO
54391,TIBRO
54395,FAGERSANNA
54422,HJO
54432,HJO
13382,SALTSJÖBADEN
54481,HJO
54494,HJO
54521,TÖREBODA
54531,TÖREBODA
54535,TÖREBODA
54590,TÖREBODA
54603,FORSVIK
54622,KARLSBORG
54631,KARLSBORG
54634,KARLSBORG
14932,NYNÄSHAMN
14930,NYNÄSHAMN
14934,NYNÄSHAMN
14935,NYNÄSHAMN
14941,NYNÄSHAMN
14943,NYNÄSHAMN
14981,NYNÄSHAMN
14951,NYNÄSHAMN
14992,NYNÄSHAMN
14991,NYNÄSHAMN
15023,ENHÖRNA
15101,SÖDERTÄLJE
15104,SÖDERTÄLJE
15106,SÖDERTÄLJE
13503,TYRESÖ
15113,SÖDERTÄLJE
15117,SÖDERTÄLJE
15122,SÖDERTÄLJE
15126,SÖDERTÄLJE
15127,SÖDERTÄLJE
15132,SÖDERTÄLJE
15129,SÖDERTÄLJE
15136,SÖDERTÄLJE
20839,MALMÖ
20842,MALMÖ
20845,MALMÖ
20849,MALMÖ
20855,MALMÖ
20857,MALMÖ
20863,MALMÖ
20867,MALMÖ
20872,MALMÖ
20876,MALMÖ
20880,MALMÖ
20886,MALMÖ
20889,MALMÖ
20891,MALMÖ
20898,MALMÖ
60244,NORRKÖPING
60300,NORRKÖPING
60347,NORRKÖPING
60349,NORRKÖPING
60353,NORRKÖPING
60356,NORRKÖPING
60359,NORRKÖPING
60364,NORRKÖPING
60368,NORRKÖPING
60371,NORRKÖPING
60374,NORRKÖPING
60380,NORRKÖPING
60386,NORRKÖPING
60580,SVÄRTINGE
60803,NORRKÖPING
60807,NORRKÖPING
60813,NORRKÖPING
61103,NYKÖPING
61107,NYKÖPING
19051,BRO
19063,ÖRSUNDSBRO
19103,SOLLENTUNA
61112,STIGTOMTA
61115,ENSTABERGA
19120,SOLLENTUNA
61122,NYKÖPING
61130,NYKÖPING
61134,NYKÖPING
61137,NYKÖPING
61145,NYKÖPING
61164,NYKÖPING
61170,JÖNÅKER
61175,ENSTABERGA
61181,NYKÖPING
61186,NYKÖPING
61190,ÅLBERGA
61194,NYKÖPING
61198,VRENA
19187,SOLLENTUNA
19190,SOLLENTUNA
61100,NYKÖPING
61104,NYKÖPING
61111,JÖNÅKER
61116,NÄVEKVARN
61123,NYKÖPING
61126,NYKÖPING
61131,NYKÖPING
61136,NYKÖPING
61144,NYKÖPING
61147,NYKÖPING
61157,NYKÖPING
61163,NYKÖPING
61166,NYKÖPING
61174,TYSTBERGA
61179,NYKÖPING
61183,NYKÖPING
61187,NYKÖPING
61191,NYKÖPING
61195,NYKÖPING
61202,FINSPÅNG
61199,TYSTBERGA
61222,FINSPÅNG
61221,FINSPÅNG
61225,FINSPÅNG
61235,FINSPÅNG
61231,FINSPÅNG
61237,FINSPÅNG
61240,FINSPÅNG
61242,FINSPÅNG
15135,SÖDERTÄLJE
15144,SÖDERTÄLJE
15139,SÖDERTÄLJE
15147,SÖDERTÄLJE
53400,VARA
15148,SÖDERTÄLJE
15151,SÖDERTÄLJE
15152,SÖDERTÄLJE
15155,SÖDERTÄLJE
15161,SÖDERTÄLJE
15160,SÖDERTÄLJE
15163,SÖDERTÄLJE
15164,SÖDERTÄLJE
15167,SÖDERTÄLJE
15168,SÖDERTÄLJE
15173,SÖDERTÄLJE
15181,SÖDERTÄLJE
15184,SÖDERTÄLJE
15187,SÖDERTÄLJE
15189,SÖDERTÄLJE
15192,SÖDERTÄLJE
15200,SÖDERTÄLJE
15220,SÖDERTÄLJE
15225,SÖDERTÄLJE
15227,SÖDERTÄLJE
15230,SÖDERTÄLJE
15231,SÖDERTÄLJE
54051,LAGERFORSBRUK
15242,SÖDERTÄLJE
54100,SKÖVDE
15243,SÖDERTÄLJE
54104,SKÖVDE
15248,SÖDERTÄLJE
15249,SÖDERTÄLJE
15252,SÖDERTÄLJE
15254,SÖDERTÄLJE
15259,SÖDERTÄLJE
15258,SÖDERTÄLJE
15280,SÖDERTÄLJE
15286,SÖDERTÄLJE
15295,SÖDERTÄLJE
15301,JÄRNA
